"CurrentName","DNVoucher","Provenance","RowNum","YearPlanted","TreeNum","RowTree","FieldID"
"Eucalyptus pilularis","DN 644","Kempsey, NSW",165,1999,22,"R165/T22","CCA3322"
"Eucalyptus grandis subsp. 'North Queensland'","DN 2524","Atherton Tableland Qld",165,1999,23,"R165/T23","CCA3323"
"Eucalyptus brassiana","DN 2512","Coen, Qld",165,1999,27,"R165/T27","CCA3324"
"Eucalyptus brassiana","DN 2512","Coen, Qld",165,1999,28,"R165/T28","CCA3325"
"Eucalyptus brassiana","DN 2512","Coen, Qld",165,1999,29,"R165/T29","CCA3326"
"Eucalyptus brassiana","DN 2512","Coen, Qld",165,1999,30,"R165/T30","CCA3327"
"Eucalyptus staigeriana","DN 2520","Maitland Downs, Qld",165,1999,31,"R165/T31","CCA3328"
"Eucalyptus staigeriana","DN 2520","Maitland Downs, Qld",165,1999,32,"R165/T32","CCA3329"
"Eucalyptus staigeriana","DN 2520","Maitland Downs, Qld",165,1999,33,"R165/T33","CCA3330"
"Eucalyptus staigeriana","DN 2520","Maitland Downs, Qld",165,1999,34,"R165/T34","CCA3331"
"Eucalyptus sp. Mt Garnet","DN 2506","Mt Garnet, Qld",166,1999,1,"R166/T01","CCA3332"
"Eucalyptus sp. Mt Garnet","DN 2506","Mt Garnet, Qld",166,1999,2,"R166/T02","CCA3333"
"Eucalyptus sp. Mt Garnet","DN 2506","Mt Garnet, Qld",166,1999,3,"R166/T03","CCA3334"
"Eucalyptus sp. Mt Garnet","DN 2506","Mt Garnet, Qld",166,1999,4,"R166/T04","CCA3335"
"Eucalyptus shirleyi","DN 2508","Lappa Junction, Qld",166,1999,5,"R166/T05","CCA3336"
"Eucalyptus shirleyi","DN 2508","Lappa Junction, Qld",166,1999,6,"R166/T06","CCA3337"
"Eucalyptus shirleyi","DN 2508","Lappa Junction, Qld",166,1999,7,"R166/T07","CCA3338"
"Eucalyptus shirleyi","DN 2508","Lappa Junction, Qld",166,1999,8,"R166/T08","CCA3339"
"Eucalyptus youmanii","DN 676","Stanthorpe, Qld",166,1999,9,"R166/T09","CCA3340"
"Eucalyptus youmanii","DN 676","Stanthorpe, Qld",166,1999,11,"R166/T11","CCA3341"
"Eucalyptus campanulata","DN 2546","Kroombit Tops, Qld",166,1999,16,"R166/T16","CCA3342"
"Eucalyptus decolor","DN 2545","Boynedale, Qld",166,1999,17,"R166/T17","CCA3343"
"Eucalyptus decolor","DN 2545","Boynedale, Qld",166,1999,18,"R166/T18","CCA3344"
"Eucalyptus decolor","DN 2545","Boynedale, Qld",166,1999,19,"R166/T19","CCA3345"
"Eucalyptus decolor","DN 2545","Boynedale, Qld",166,1999,20,"R166/T20","CCA3346"
"Eucalyptus youmanii","DN 654","Armidale, NSW",166,1999,21,"R166/T21","CCA3347"
"Eucalyptus youmanii","DN 654","Armidale, NSW",166,1999,22,"R166/T22","CCA3348"
"Eucalyptus youmanii","DN 654","Armidale, NSW",166,1999,23,"R166/T23","CCA3349"
"Eucalyptus youmanii","DN 654","Armidale, NSW",166,1999,24,"R166/T24","CCA3350"
"Eucalyptus mediocris","DN 2525","Mt Garnet, Qld",166,1999,29,"R166/T29","CCA3351"
